            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,             X_s,             Y_s,             Z_s,            VX_s,            VY_s,            VZ_s,
********************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460954.875000000, A.D. 2025-Oct-06 09:00:00.0000,  9.812885252582584E+07,  3.917775060099722E+07,  1.979214462269229E+07, -7.364509451599391E-01,  3.612858755217941E+01,  1.456406018378839E+01,  9.23939874E+04,  4.90855463E+06,  1.95005061E+06,  1.41053852E+00,  5.64846809E-01,  3.01110612E-01,
2460954.916666667, A.D. 2025-Oct-06 10:00:00.0000,  9.812613453065056E+07,  3.930778642069758E+07,  1.984456184935341E+07, -7.735367596654938E-01,  3.611353019217532E+01,  1.455661990549122E+01,  9.74679974E+04,  4.90651942E+06,  1.94896606E+06,  1.40836159E+00,  5.65821765E-01,  3.01413703E-01,
2460954.958333333, A.D. 2025-Oct-06 11:00:00.0000,  9.812328313034594E+07,  3.943776798741128E+07,  1.989695227603809E+07, -8.105649161208573E-01,  3.609844702494789E+01,  1.454917131605699E+01,  1.02534176E+05,  4.90448072E+06,  1.94788043E+06,  1.40618702E+00,  5.66792011E-01,  3.01714966E-01,
2460955.000000000, A.D. 2025-Oct-06 12:00:00.0000,  9.812029853237040E+07,  3.956769520845936E+07,  1.994931587291388E+07, -8.475354759682387E-01,  3.608333817578225E+01,  1.454171446383559E+01,  1.07592531E+05,  4.90243853E+06,  1.94679372E+06,  1.40401482E+00,  5.67757563E-01,  3.02014408E-01,
2460955.041666667, A.D. 2025-Oct-06 13:00:00.0000,  9.811718094396099E+07,  3.969756799160891E+07,  2.000165261032037E+07, -8.844485007819096E-01,  3.606820376954515E+01,  1.453424939700312E+01,  1.12643071E+05,  4.90039287E+06,  1.94570593E+06,  1.40184500E+00,  5.68718437E-01,  3.02312036E-01,
2460955.083333333, A.D. 2025-Oct-06 14:00:00.0000,  9.811393057213281E+07,  3.982738624508002E+07,  2.005396245877200E+07, -9.213040522689504E-01,  3.605304393068485E+01,  1.452677616356180E+01,  1.17685804E+05,  4.89834376E+06,  1.94461707E+06,  1.39967755E+00,  5.69674650E-01,  3.02607855E-01,
2460955.125000000, A.D. 2025-Oct-06 15:00:00.0000,  9.811054762367846E+07,  3.995714987754002E+07,  2.010624538895568E+07, -9.581021922663705E-01,  3.603785878323264E+01,  1.451929481134069E+01,  1.22720740E+05,  4.89629122E+06,  1.94352715E+06,  1.39751249E+00,  5.70626215E-01,  3.02901874E-01,
2460955.166666667, A.D. 2025-Oct-06 16:00:00.0000,  9.810703230516791E+07,  4.008685879809780E+07,  2.015850137172849E+07, -9.948429827382512E-01,  3.602264845080421E+01,  1.451180538799635E+01,  1.27747886E+05,  4.89423526E+06,  1.94243618E+06,  1.39534982E+00,  5.71573151E-01,  3.03194097E-01,
2460955.208333333, A.D. 2025-Oct-06 17:00:00.0000,  9.810338482294768E+07,  4.021651291631075E+07,  2.021073037812051E+07, -1.031526485776510E+00,  3.600741305659969E+01,  1.450430794101283E+01,  1.32767251E+05,  4.89217590E+06,  1.94134416E+06,  1.39318953E+00,  5.72515471E-01,  3.03484533E-01,
2460955.250000000, A.D. 2025-Oct-06 18:00:00.0000,  9.809960538314056E+07,  4.034611214217903E+07,  2.026293237933239E+07, -1.068152763598057E+00,  3.599215272340503E+01,  1.449680251770231E+01,  1.37778844E+05,  4.89011315E+06,  1.94025109E+06,  1.39103164E+00,  5.73453192E-01,  3.03773187E-01,
2460955.291666667, A.D. 2025-Oct-06 19:00:00.0000,  9.809569419164522E+07,  4.047565638613982E+07,  2.031510734673313E+07, -1.104721878541975E+00,  3.597686757359349E+01,  1.448928916520586E+01,  1.42782673E+05,  4.88804704E+06,  1.93915699E+06,  1.38887616E+00,  5.74386330E-01,  3.04060067E-01,
2460955.333333333, A.D. 2025-Oct-06 20:00:00.0000,  9.809165145413558E+07,  4.060514555907438E+07,  2.036725525186284E+07, -1.141233893070298E+00,  3.596155772912561E+01,  1.448176793049332E+01,  1.47778747E+05,  4.88597758E+06,  1.93806186E+06,  1.38672308E+00,  5.75314899E-01,  3.04345178E-01,
2460955.375000000, A.D. 2025-Oct-06 21:00:00.0000,  9.808747737606052E+07,  4.073457957230228E+07,  2.041937606643038E+07, -1.177688869765208E+00,  3.594622331155062E+01,  1.447423886036405E+01,  1.52767074E+05,  4.88390478E+06,  1.93696571E+06,  1.38457240E+00,  5.76238916E-01,  3.04628527E-01,
2460955.416666667, A.D. 2025-Oct-06 22:00:00.0000,  9.808317216264343E+07,  4.086395833757567E+07,  2.047146976231111E+07, -1.214086871326245E+00,  3.593086444200794E+01,  1.446670200144759E+01,  1.57747664E+05,  4.88182866E+06,  1.93586854E+06,  1.38242414E+00,  5.77158396E-01,  3.04910120E-01,
2460955.458333333, A.D. 2025-Oct-06 23:00:00.0000,  9.807873601888177E+07,  4.099328176708633E+07,  2.052353631154964E+07, -1.250427960571109E+00,  3.591548124122714E+01,  1.445915740020362E+01,  1.62720524E+05,  4.87974924E+06,  1.93477036E+06,  1.38027830E+00,  5.78073355E-01,  3.05189965E-01,
2460955.500000000, A.D. 2025-Oct-07 00:00:00.0000,  9.807416914954656E+07,  4.112254977345990E+07,  2.057557568635754E+07, -1.286712200432888E+00,  3.590007382952936E+01,  1.445160510292265E+01,  1.67685664E+05,  4.87766654E+06,  1.93367118E+06,  1.37813488E+00,  5.78983807E-01,  3.05468067E-01,
